state,county_name,fips_code,total_deaths,covid19_deaths
MA,Hampden County,25013,20880,1984
MA,Hampshire County,25015,4370,301
MA,Middlesex County,25017,44136,4239
MA,Norfolk County,25021,20625,1584
MA,Plymouth County,25023,17892,1493
MA,Suffolk County,25025,33689,3078
MA,Worcester County,25027,30430,2771
MD,Allegany County,24001,4268,517
MD,Anne Arundel County,24003,18138,1372
MD,Baltimore County,24005,32189,2655
MD,Calvert County,24009,2524,163
MD,Carroll County,24013,6670,518
MD,Cecil County,24015,3827,289
MD,Charles County,24017,4337,363
MD,Frederick County,24021,7450,598
MD,Garrett County,24023,1283,140
MD,Harford County,24025,8502,640
MD,Howard County,24027,7172,420
MD,Montgomery County,24031,29398,3296
MD,Prince George's County,24033,21675,2147
MD,St. Mary's County,24037,3280,264
MD,Talbot County,24041,2479,168
MD,Washington County,24043,7244,719
MD,Wicomico County,24045,5845,618
MD,Worcester County,24047,2577,197
MD,Baltimore city,24510,35372,2841
ME,Androscoggin County,23001,6173,438
ME,Aroostook County,23003,3588,175
ME,Cumberland County,23005,15594,794
ME,Kennebec County,23011,5816,323
ME,Oxford County,23017,2156,136
ME,Penobscot County,23019,8558,540
ME,York County,23031,6041,331
MI,Allegan County,26005,3545,169
MI,Alpena County,26007,1722,200
MI,Bay County,26017,5956,665
MI,Berrien County,26021,6894,630
MI,Branch County,26023,1576,129
MI,Calhoun County,26025,6312,538
MI,Crawford County,26039,903,106
MI,Delta County,26041,1650,145
MI,Dickinson County,26043,1280,131
MI,Eaton County,26045,3127,141
MI,Emmet County,26047,2438,215
MI,Genesee County,26049,20510,1825
MI,Grand Traverse County,26055,6162,521
MI,Gratiot County,26057,1932,209
MI,Hillsdale County,26059,1584,120
MI,Ingham County,26065,12790,1255
MI,Iosco County,26069,1454,119
MI,Isabella County,26073,2263,159
MI,Jackson County,26075,7560,656
MI,Kalamazoo County,26077,12538,1245
MI,Kent County,26081,25409,2306
MI,Lapeer County,26087,3473,371
MI,Lenawee County,26091,3688,253
MI,Livingston County,26093,5104,236
MI,Macomb County,26099,31229,2927
MI,Marquette County,26103,3216,254
MI,Mecosta County,26107,1549,106
MI,Midland County,26111,4267,343
MI,Monroe County,26115,4895,301
MI,Montcalm County,26117,2315,166
MI,Muskegon County,26121,7912,738
MI,Oakland County,26125,52645,5614
MI,Ogemaw County,26129,1194,106
MI,Ottawa County,26139,7827,624
MI,Saginaw County,26145,10663,1278
MI,St. Clair County,26147,6997,784
MI,St. Joseph County,26149,2063,110
MI,Shiawassee County,26155,2898,184
MI,Van Buren County,26159,2204,125
MI,Washtenaw County,26161,15495,1352
MI,Wayne County,26163,76992,7626
MI,Wexford County,26165,1538,141
MN,Anoka County,27003,9262,975
MN,Beltrami County,27007,1692,149
MN,Benton County,27009,1170,118
MN,Blue Earth County,27013,2468,186
MN,Carver County,27019,2124,146
MN,Chisago County,27025,1745,110
MN,Crow Wing County,27035,2636,191
MN,Dakota County,27037,9073,618
MN,Douglas County,27041,1649,123
MN,Goodhue County,27049,1776,127
MN,Hennepin County,27053,44653,4016
MN,Itasca County,27061,1854,126
MN,Kandiyohi County,27067,1491,143
MN,Olmsted County,27109,8774,618
MN,Otter Tail County,27111,2381,123
MN,Ramsey County,27123,22172,2235
MN,Rice County,27131,1780,136
MN,St. Louis County,27137,11323,911
MN,Scott County,27139,2776,196
MN,Sherburne County,27141,1926,110
MN,Stearns County,27145,6898,728
MN,Washington County,27163,6157,450
MN,Wright County,27171,2860,219
MO,Boone County,29019,9165,879
MO,Buchanan County,29021,4772,484
MO,Butler County,29023,2991,297
MO,Camden County,29029,2636,275
MO,Cape Girardeau County,29031,5515,551
MO,Cass County,29037,3317,168
MO,Clay County,29047,9946,1098
MO,Clinton County,29049,1121,121
MO,Cole County,29051,3746,538
MO,Crawford County,29055,1184,118
MO,Franklin County,29071,3945,330
MO,Greene County,29077,19190,2278
MO,Howell County,29091,2411,224
MO,Jackson County,29095,33374,2912
MO,Jasper County,29097,3562,156
MO,Jefferson County,29099,6550,511
MO,Laclede County,29105,1426,101
MO,Lawrence County,29109,1531,102
MO,Marion County,29127,1666,185
MO,Newton County,29145,6742,898
MO,Pettis County,29159,1829,187
MO,Phelps County,29161,2392,321
MO,Platte County,29165,2613,195
MO,Polk County,29167,1483,166
MO,St. Charles County,29183,12363,1069
MO,St. Francois County,29187,3056,202
MO,St. Louis County,29189,51204,4719
MO,Scott County,29201,1786,160
MO,Taney County,29213,2624,175
MO,St. Louis city,29510,19185,1275
MS,Adams County,28001,1531,170
MS,Alcorn County,28003,2285,288
MS,Bolivar County,28011,1378,101
MS,DeSoto County,28033,7163,972
MS,Forrest County,28035,6184,836
MS,Grenada County,28043,1175,121
MS,Harrison County,28047,10132,887
MS,Hinds County,28049,18330,2123
MS,Jackson County,28059,6360,588
MS,Jones County,28067,3120,320
MS,Lafayette County,28071,3195,583
MS,Lamar County,28073,2316,297
MS,Lauderdale County,28075,5257,806
MS,Lee County,28081,7920,1094
MS,Leflore County,28083,1633,322
MS,Lincoln County,28085,1607,178
MS,Lowndes County,28087,3238,489
MS,Madison County,28089,3799,287
MS,Monroe County,28095,1419,218
MS,Oktibbeha County,28105,1280,178
MS,Panola County,28107,1255,112
MS,Pearl River County,28109,2249,129
MS,Pike County,28113,2258,216
MS,Prentiss County,28117,862,133
MS,Rankin County,28121,4208,324
MS,Simpson County,28127,1022,121
MS,Sunflower County,28133,1132,109
MS,Union County,28145,1087,163
MS,Warren County,28149,2353,297
MS,Washington County,28151,2685,309
MT,Cascade County,30013,4827,533
MT,Flathead County,30029,4725,419
MT,Gallatin County,30031,2430,133
MT,Lewis and Clark County,30049,2736,229
MT,Missoula County,30063,4660,387
MT,Ravalli County,30081,1676,120
MT,Silver Bow County,30093,1788,145
MT,Yellowstone County,30111,8995,1139
NC,Alamance County,37001,7072,466
NC,Ashe County,37009,1175,107
NC,Beaufort County,37013,2031,192
NC,Brunswick County,37019,5263,281
NC,Buncombe County,37021,15618,1249
NC,Burke County,37023,4281,435
NC,Cabarrus County,37025,8440,926
NC,Caldwell County,37027,4004,361
NC,Carteret County,37031,3721,178
NC,Catawba County,37035,8756,971
NC,Chatham County,37037,3286,135
NC,Cherokee County,37039,1349,104
NC,Cleveland County,37045,5276,617
NC,Columbus County,37047,2758,215
NC,Craven County,37049,5141,402
NC,Cumberland County,37051,12384,1005
NC,Davidson County,37057,6414,447
NC,Duplin County,37061,1763,153
NC,Durham County,37063,14759,971
NC,Edgecombe County,37065,2215,200
NC,Forsyth County,37067,22358,2062
NC,Gaston County,37071,10301,1026
NC,Granville County,37077,1825,114
NC,Guilford County,37081,22677,2055
NC,Halifax County,37083,2219,194
NC,Harnett County,37085,3836,289
NC,Haywood County,37087,2915,254
NC,Henderson County,37089,6196,533
NC,Hertford County,37091,1174,149
NC,Iredell County,37097,7017,706
NC,Jackson County,37099,1493,127
NC,Johnston County,37101,6087,397
NC,Lee County,37105,2227,131
NC,Lenoir County,37107,2689,261
NC,Lincoln County,37109,2746,239
NC,McDowell County,37111,1479,112
NC,Macon County,37113,1640,109
NC,Mecklenburg County,37119,35074,3157
NC,Mitchell County,37121,969,102
NC,Moore County,37125,6789,806
NC,Nash County,37127,4294,407
NC,New Hanover County,37129,13053,947
NC,Onslow County,37133,4343,363
NC,Orange County,37135,6281,528
NC,Pasquotank County,37139,2229,251
NC,Pitt County,37147,10690,852
NC,Randolph County,37151,5253,318
NC,Richmond County,37153,2152,187
NC,Robeson County,37155,5375,440
NC,Rockingham County,37157,4476,255
NC,Rowan County,37159,6639,635
NC,Rutherford County,37161,3513,326
NC,Sampson County,37163,1928,138
NC,Scotland County,37165,2285,299
NC,Stanly County,37167,2461,176
NC,Surry County,37171,4655,556
NC,Union County,37179,6230,548
NC,Vance County,37181,2237,204
NC,Wake County,37183,28273,2096
NC,Watauga County,37189,1780,158
NC,Wayne County,37191,6034,532
NC,Wilkes County,37193,2808,249
NC,Wilson County,37195,3488,350
ND,Burleigh County,38015,4866,561
ND,Cass County,38017,8696,1078
ND,Grand Forks County,38035,2702,247
ND,Ward County,38101,2734,358
NE,Adams County,31001,1348,129
NE,Buffalo County,31019,2194,255
NE,Dodge County,31053,1568,152
NE,Douglas County,31055,22388,2097
NE,Hall County,31079,2424,256
NE,Lancaster County,31109,11772,884
NE,Lincoln County,31111,1796,200
NE,Madison County,31119,1621,145
NE,Sarpy County,31153,3575,239
NE,Scotts Bluff County,31157,1785,200
NH,Belknap County,33001,2576,202
NH,Cheshire County,33005,2862,153
NH,Coos County,33007,1712,127
NH,Grafton County,33009,5750,217
NH,Hillsborough County,33011,14555,1120
NH,Merrimack County,33013,6510,373
NH,Rockingham County,33015,9369,531
NH,Strafford County,33017,5004,273
NJ,Atlantic County,34001,12093,1100
NJ,Bergen County,34003,32050,4290
NJ,Burlington County,34005,14570,1341
NJ,Camden County,34007,24311,2118
NJ,Cape May County,34009,4404,270
NJ,Cumberland County,34011,6305,634
NJ,Essex County,34013,28456,4036
NJ,Gloucester County,34015,10633,972
NJ,Hudson County,34017,14114,2226
NJ,Hunterdon County,34019,3304,299
NJ,Mercer County,34021,11769,1261
NJ,Middlesex County,34023,27835,3404
NJ,Monmouth County,34025,25474,2595
NJ,Morris County,34027,19404,2243
NJ,Ocean County,34029,27272,2788
NJ,Passaic County,34031,14494,2078
NJ,Salem County,34033,2430,174
NJ,Somerset County,34035,8651,916
NJ,Sussex County,34037,4531,379
NJ,Union County,34039,16964,2195
NJ,Warren County,34041,3901,372
NM,Bernalillo County,35001,32162,3470
NM,Chaves County,35005,2655,341
NM,Cibola County,35006,963,118
NM,Curry County,35009,1578,186
NM,Dona Ana County,35013,8481,975
NM,Eddy County,35015,1947,192
NM,Lea County,35025,1880,214
NM,McKinley County,35031,2524,324
NM,Otero County,35035,2286,157
NM,Rio Arriba County,35039,1519,108
NM,Sandoval County,35043,5981,836
NM,San Juan County,35045,5273,823
NM,Santa Fe County,35049,5923,484
NM,Valencia County,35061,2085,107
NV,Churchill County,32001,1110,112
NV,Clark County,32003,82807,9620
NV,Elko County,32007,1305,110
NV,Washoe County,32031,20586,1688
NV,Carson City,32510,4405,414
NY,Albany County,36001,16395,1279
NY,Allegany County,36003,1603,125
NY,Bronx County,36005,49215,7238
NY,Broome County,36007,9936,955
NY,Cattaraugus County,36009,3301,293
NY,Cayuga County,36011,2797,167
NY,Chautauqua County,36013,5113,432
NY,Chemung County,36015,3882,380
NY,Chenango County,36017,1935,144
NY,Clinton County,36019,3265,178
NY,Columbia County,36021,2521,241
NY,Cortland County,36023,1642,134
NY,Dutchess County,36027,11170,1029
NY,Erie County,36029,43431,4207
NY,Fulton County,36035,2208,188
NY,Genesee County,36037,2326,242
NY,Herkimer County,36043,1716,108
NY,Jefferson County,36045,3608,195
NY,Kings County,36047,66099,11194
NY,Livingston County,36051,1652,130
NY,Madison County,36053,2238,187
NY,Monroe County,36055,33200,2729
NY,Montgomery County,36057,2469,250
NY,Nassau County,36059,49111,6850
NY,New York County,36061,58568,7644
NY,Niagara County,36063,8400,641
NY,Oneida County,36065,11051,1083
NY,Onondaga County,36067,22220,1882
NY,Ontario County,36069,4526,355
NY,Orange County,36071,11492,1422
NY,Oswego County,36075,2993,185
NY,Otsego County,36077,3250,258
NY,Putnam County,36079,1954,140
NY,Queens County,36081,55948,9680
NY,Rensselaer County,36083,5871,348
NY,Richmond County,36085,15610,2405
NY,Rockland County,36087,9025,1384
NY,St. Lawrence County,36089,3962,289
NY,Saratoga County,36091,6172,360
NY,Schenectady County,36093,6368,448
NY,Steuben County,36101,3934,294
NY,Suffolk County,36103,53567,6755
NY,Sullivan County,36105,2294,158
NY,Tompkins County,36109,2780,157
NY,Ulster County,36111,5462,333
NY,Warren County,36113,3845,311
NY,Wayne County,36117,2567,188
NY,Westchester County,36119,29384,3987
NY,Wyoming County,36121,1296,101
OH,Adams County,39001,1200,104
OH,Allen County,39003,6324,914
OH,Ashland County,39005,2135,219
OH,Ashtabula County,39007,4339,474
OH,Athens County,39009,1847,131
OH,Auglaize County,39011,1672,149
OH,Belmont County,39013,2438,188
OH,Butler County,39017,13308,1291
OH,Clark County,39023,6590,654
OH,Clermont County,39025,5056,341
OH,Clinton County,39027,1568,160
OH,Columbiana County,39029,4438,454
OH,Crawford County,39033,2069,231
OH,Cuyahoga County,39035,67392,6270
OH,Darke County,39037,2089,163
OH,Defiance County,39039,2220,188
OH,Delaware County,39041,3825,221
OH,Erie County,39043,4223,400
OH,Fairfield County,39045,5656,555
OH,Franklin County,39049,56380,5245
OH,Fulton County,39051,1277,124
OH,Gallia County,39053,1686,263
OH,Geauga County,39055,3805,439
OH,Greene County,39057,5054,574
OH,Guernsey County,39059,1760,133
OH,Hamilton County,39061,41529,3705
OH,Hancock County,39063,3781,469
OH,Highland County,39071,1603,110
OH,Holmes County,39075,1386,213
OH,Huron County,39077,2201,191
OH,Jefferson County,39081,3548,360
OH,Knox County,39083,2407,217
OH,Lake County,39085,8233,734
OH,Licking County,39089,6271,507
OH,Logan County,39091,1547,117
OH,Lorain County,39093,11728,1200
OH,Lucas County,39095,23900,2690
OH,Mahoning County,39099,14961,1601
OH,Marion County,39101,3278,454
OH,Medina County,39103,5480,393
OH,Mercer County,39107,1279,120
OH,Miami County,39109,4389,449
OH,Montgomery County,39113,32263,3502
OH,Muskingum County,39119,4783,490
OH,Pickaway County,39129,1932,193
OH,Portage County,39133,5357,444
OH,Richland County,39139,5914,606
OH,Ross County,39141,4313,491
OH,Sandusky County,39143,2387,233
OH,Scioto County,39145,4746,418
OH,Seneca County,39147,1825,164
OH,Shelby County,39149,1451,135
OH,Stark County,39151,19421,2304
OH,Summit County,39153,26443,2326
OH,Trumbull County,39155,8832,862
OH,Tuscarawas County,39157,4377,514
OH,Union County,39159,1540,126
OH,Van Wert County,39161,931,115
OH,Warren County,39165,7535,548
OH,Washington County,39167,3762,446
OH,Wayne County,39169,4736,467
OH,Williams County,39171,1212,134
OH,Wood County,39173,4529,293
OK,Beckham County,40009,947,120
OK,Bryan County,40013,2112,227
OK,Canadian County,40017,2993,267
OK,Carter County,40019,2375,320
OK,Cherokee County,40021,2102,246
OK,Cleveland County,40027,8543,926
OK,Comanche County,40031,4555,516
OK,Creek County,40037,2229,123
OK,Custer County,40039,1077,120
OK,Delaware County,40041,1917,168
OK,Garfield County,40047,2934,389
OK,Grady County,40051,1801,162
OK,Jackson County,40065,905,135
OK,Kay County,40071,1926,206
OK,McCurtain County,40089,1362,107
OK,Muskogee County,40101,4106,507
OK,Oklahoma County,40109,43947,5282
OK,Ottawa County,40115,1319,127
OK,Payne County,40119,2345,198
OK,Pittsburg County,40121,2380,276
OK,Pontotoc County,40123,1763,245
OK,Pottawatomie County,40125,3548,395
OK,Rogers County,40131,2926,217
OK,Stephens County,40137,2200,272
OK,Tulsa County,40143,36794,4526
OK,Washington County,40147,3045,414
