state,county_name,fips_code,total_deaths,covid19_deaths
TX,Bee County,48025,937,101
TX,Bell County,48027,13238,1450
TX,Bexar County,48029,73016,9359
TX,Bowie County,48037,6712,977
TX,Brazoria County,48039,9184,804
TX,Brazos County,48041,6699,889
TX,Brown County,48049,2083,243
TX,Burnet County,48053,1955,197
TX,Cameron County,48061,14625,2564
TX,Cherokee County,48073,1762,198
TX,Collin County,48085,27297,2892
TX,Comal County,48091,5987,607
TX,Cooke County,48097,1392,118
TX,Coryell County,48099,1630,117
TX,Dallas County,48113,75171,7640
TX,Denton County,48121,18152,1747
TX,Ector County,48135,6194,993
TX,Ellis County,48139,5130,513
TX,El Paso County,48141,29612,4580
TX,Fort Bend County,48157,15066,1275
TX,Galveston County,48167,11598,1069
TX,Gillespie County,48171,1420,123
TX,Gray County,48179,925,127
TX,Grayson County,48181,7607,1029
TX,Gregg County,48183,8172,1253
TX,Guadalupe County,48187,4196,350
TX,Hale County,48189,1047,165
TX,Harris County,48201,135110,13913
TX,Hays County,48209,5617,524
TX,Henderson County,48213,3646,273
TX,Hidalgo County,48215,23440,4112
TX,Hood County,48221,2835,261
TX,Hopkins County,48223,1837,230
TX,Howard County,48227,1408,128
TX,Hunt County,48231,3779,388
TX,Jefferson County,48245,13528,1597
TX,Jim Wells County,48249,1431,150
TX,Johnson County,48251,4335,309
TX,Kaufman County,48257,3255,193
TX,Kerr County,48265,2946,218
TX,Kleberg County,48273,989,125
TX,Lamar County,48277,2991,370
TX,Liberty County,48291,2228,109
TX,Lubbock County,48303,16247,2520
TX,McLennan County,48309,11353,1400
TX,Matagorda County,48321,1190,132
TX,Maverick County,48323,1668,261
TX,Midland County,48329,5228,669
TX,Montgomery County,48339,22817,2358
TX,Nacogdoches County,48347,2942,438
TX,Navarro County,48349,1863,210
TX,Nolan County,48353,641,109
TX,Nueces County,48355,16491,2095
TX,Palo Pinto County,48363,1216,132
TX,Parker County,48367,4336,338
TX,Polk County,48373,2209,146
TX,Potter County,48375,9969,1706
TX,Randall County,48381,2910,142
TX,Rockwall County,48397,3683,510
TX,Rusk County,48401,1634,107
TX,Smith County,48423,16845,2511
TX,Starr County,48427,1180,126
TX,Tarrant County,48439,68888,8083
TX,Taylor County,48441,7996,1372
TX,Titus County,48449,1378,165
TX,Tom Green County,48451,5495,710
TX,Travis County,48453,29475,2584
TX,Uvalde County,48463,1012,106
TX,Val Verde County,48465,1292,155
TX,Victoria County,48469,4795,765
TX,Walker County,48471,1978,175
TX,Webb County,48479,7237,1265
TX,Wharton County,48481,1256,108
TX,Wichita County,48485,7224,1037
TX,Williamson County,48491,15346,1363
TX,Wise County,48497,2727,330
UT,Cache County,49005,2440,116
UT,Davis County,49011,7489,412
UT,Salt Lake County,49035,33152,2422
UT,Utah County,49049,12394,1061
UT,Washington County,49053,7556,725
UT,Weber County,49057,8453,616
VA,Accomack County,51001,1721,103
VA,Albemarle County,51003,4087,263
VA,Arlington County,51013,5467,516
VA,Augusta County,51015,3958,355
VA,Chesterfield County,51041,10997,713
VA,Culpeper County,51047,1767,164
VA,Fairfax County,51059,23021,1664
VA,Fauquier County,51061,2039,107
VA,Franklin County,51067,2076,145
VA,Gloucester County,51073,1958,155
VA,Halifax County,51083,1885,193
VA,Hanover County,51085,5582,536
VA,Henrico County,51087,14489,1242
VA,Loudoun County,51107,7146,458
VA,Mecklenburg County,51117,1894,144
VA,Montgomery County,51121,3334,325
VA,Prince William County,51153,7235,521
VA,Pulaski County,51155,1628,133
VA,Rockingham County,51165,3645,422
VA,Shenandoah County,51171,1759,158
VA,Smyth County,51173,1463,101
VA,Spotsylvania County,51177,3198,139
VA,Tazewell County,51185,2260,216
VA,Warren County,51187,1467,120
VA,Washington County,51191,3010,283
VA,Wise County,51195,1353,107
VA,Wythe County,51197,1484,137
VA,York County,51199,2146,159
VA,Alexandria city,51510,3701,340
VA,Charlottesville city,51540,4740,381
VA,Chesapeake city,51550,7336,488
VA,Danville city,51590,3455,362
VA,Fredericksburg city,51630,3668,408
VA,Galax city,51640,817,125
VA,Hampton city,51650,4949,329
VA,Hopewell city,51670,1545,194
VA,Lynchburg city,51680,6935,923
VA,Manassas city,51683,1965,303
VA,Martinsville city,51690,1909,329
VA,Newport News city,51700,8397,627
VA,Norfolk city,51710,11912,878
VA,Petersburg city,51730,3540,396
VA,Portsmouth city,51740,4524,393
VA,Richmond city,51760,13178,932
VA,Roanoke city,51770,10185,963
VA,Salem city,51775,3693,428
VA,Suffolk city,51800,4013,475
VA,Virginia Beach city,51810,13484,785
VA,Winchester city,51840,4790,676
VT,Bennington County,50003,1952,116
VT,Chittenden County,50007,6827,331
VT,Rutland County,50021,2754,102
WA,Benton County,53005,7991,737
WA,Chelan County,53007,3950,338
WA,Clallam County,53009,3883,157
WA,Clark County,53011,16851,1026
WA,Cowlitz County,53015,4976,345
WA,Franklin County,53021,1295,149
WA,Grant County,53025,2588,168
WA,Grays Harbor County,53027,3051,162
WA,King County,53033,61294,3423
WA,Kitsap County,53035,8368,385
WA,Lewis County,53041,3316,182
WA,Mason County,53045,2188,104
WA,Pierce County,53053,31855,1942
WA,Skagit County,53057,5328,284
WA,Snohomish County,53061,22279,1071
WA,Spokane County,53063,22941,1772
WA,Stevens County,53065,1450,106
WA,Thurston County,53067,10833,656
WA,Walla Walla County,53071,2672,177
WA,Whatcom County,53073,7642,463
WA,Yakima County,53077,8458,812
WI,Barron County,55005,1985,131
WI,Brown County,55009,11155,981
WI,Chippewa County,55017,1909,122
WI,Columbia County,55021,1949,136
WI,Dane County,55025,18470,1149
WI,Dodge County,55027,3512,336
WI,Eau Claire County,55035,5022,441
WI,Fond du Lac County,55039,4223,332
WI,Grant County,55043,1669,104
WI,Jefferson County,55055,2642,153
WI,Kenosha County,55059,6453,815
WI,La Crosse County,55063,6073,527
WI,Lincoln County,55069,1239,108
WI,Manitowoc County,55071,3046,176
WI,Marathon County,55073,6579,713
WI,Marinette County,55075,2022,141
WI,Milwaukee County,55079,39457,2803
WI,Oneida County,55085,2133,193
WI,Outagamie County,55087,7009,681
WI,Ozaukee County,55089,4344,357
WI,Polk County,55095,1711,118
WI,Portage County,55097,1966,136
WI,Racine County,55101,6834,636
WI,Rock County,55105,6629,473
WI,St. Croix County,55109,2447,111
WI,Sauk County,55111,2427,156
WI,Shawano County,55115,1553,109
WI,Sheboygan County,55117,4642,387
WI,Vernon County,55123,1149,101
WI,Walworth County,55127,3276,209
WI,Washington County,55131,4278,261
WI,Waukesha County,55133,14456,1309
WI,Waupaca County,55135,2232,178
WI,Winnebago County,55139,6957,497
WI,Wood County,55141,5078,490
WV,Berkeley County,54003,4312,344
WV,Brooke County,54009,1838,241
WV,Cabell County,54011,9308,859
WV,Fayette County,54019,1724,117
WV,Greenbrier County,54025,2144,194
WV,Harrison County,54033,4441,409
WV,Jefferson County,54037,2514,146
WV,Kanawha County,54039,13888,1209
WV,Logan County,54045,2061,183
WV,Marshall County,54051,1300,142
WV,Mercer County,54055,3695,298
WV,Monongalia County,54061,8472,973
WV,Ohio County,54069,4240,501
WV,Putnam County,54079,1819,143
WV,Raleigh County,54081,6078,609
WV,Randolph County,54083,1712,136
WV,Wood County,54107,4795,450
WY,Campbell County,56005,1140,148
WY,Fremont County,56013,1564,113
WY,Laramie County,56021,4024,370
WY,Natrona County,56025,3930,467
WY,Park County,56029,1142,121
WY,Sheridan County,56033,1247,101
WY,Sweetwater County,56037,1265,115
